date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:53	50/50	---M--	200	added ('OK')	text/css	etag:%2263466064-32%22	http://cdn.lcoi.tk/thanks/data-v-57ac2e84.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-57ac2e84.css	(from http://lcoi.tk/)
16:40:53	553/553	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-229%22	http://cdn.lcoi.tk/thanks/data-v-590f5c34.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-590f5c34.css	(from http://lcoi.tk/)
16:40:54	1687/1687	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-697%22	http://cdn.lcoi.tk/thanks/data-v-5a58a989.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-5a58a989.css	(from http://lcoi.tk/)
16:40:55	518/518	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-206%22	http://cdn.lcoi.tk/thanks/data-v-62e64f9a.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-62e64f9a.css	(from http://lcoi.tk/)
16:40:55	656/656	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-290%22	http://cdn.lcoi.tk/thanks/data-v-6330a2e0.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-6330a2e0.css	(from http://lcoi.tk/)
16:40:56	334/334	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-14e%22	http://cdn.lcoi.tk/thanks/data-v-639bc19b.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-639bc19b.css	(from http://lcoi.tk/)
16:40:56	179/179	---M--	200	added ('OK')	text/css	etag:%2263466064-b3%22	http://cdn.lcoi.tk/thanks/data-v-6febb0e8.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-6febb0e8.css	(from http://lcoi.tk/)
16:40:57	774/774	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-306%22	http://cdn.lcoi.tk/thanks/data-v-70cb3d5a.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-70cb3d5a.css	(from http://lcoi.tk/)
16:40:58	815/815	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-32f%22	http://cdn.lcoi.tk/thanks/data-v-73965038.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-73965038.css	(from http://lcoi.tk/)
16:40:58	1231/1231	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-4cf%22	http://cdn.lcoi.tk/thanks/data-v-78fafe5c.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-78fafe5c.css	(from http://lcoi.tk/)
16:40:59	371/371	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-173%22	http://cdn.lcoi.tk/thanks/data-v-7ade990c.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-7ade990c.css	(from http://lcoi.tk/)
16:40:59	465/465	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-1d1%22	http://cdn.lcoi.tk/thanks/data-v-7cdb640e.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-7cdb640e.css	(from http://lcoi.tk/)
16:40:59	515507/515507	---M--	200	added ('OK')	image/png	etag:%2263466064-7ddb3%22	http://cdn.lcoi.tk/picture/mark.png	D:/lcoi.tk/cdn.lcoi.tk/picture/mark.png	(from )
16:41:00	363/363	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-16b%22	http://cdn.lcoi.tk/thanks/data-v-7f3c782d.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-7f3c782d.css	(from http://lcoi.tk/)
16:41:01	488/488	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-1e8%22	http://cdn.lcoi.tk/thanks/data-v-8859cc6c.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-8859cc6c.css	(from http://lcoi.tk/)
